price
75.0
104.0
369.0
300.0
92.0
64.0
265.0
35.0
287.0
69.0
52.0
23.0
287.0
87.0
114.0
114.0
98.0
137.0
87.0
90.0
63.0
69.0
80.0
113.0
58.0
115.0
30.0
35.0
92.0
460.0
74.0
72.0
63.0
115.0
60.0
75.0
31.0
277.0
52.0
218.0
132.0
316.0
127.0
87.0
449.0
46.0
345.0
48.0
184.0
149.0
345.0
92.0
749.0
93.0
9502.0
138.0
48.0
87.0
103.0
32.0
93.0
57.0
109.0
127.0
149.0
78.0
162.0
173.0
87.0
184.0
288.0
576.0
460.0
150.0
127.0
92.0
84.0
115.0
218.0
404.0
52.0
85.0
66.0
52.0
201.0
287.0
69.0
114.0
379.0
115.0
161.0
91.0
231.0
230.0
822.0
115.0
80.0
58.0
207.0
171.0
156.0
91.0
138.0
104.0
691.0
74.0
87.0
63.0
333.0
125.0
196.0
57.0
92.0
127.0
136.0
129.0
66.0
80.0
115.0
87.0
57.0
172.0
184.0
230.0
153.0
162.0
104.0
165.0
1036.0
69.0
196.0
38.0
92.0
162.0
806.0
105.0
69.0
29.0
633.0
102.0
87.0
345.0
58.0
56.0
35.0
49.0
92.0
156.0
58.0
104.0
167.0
115.0
87.0
800.0
87.0
322.0
65.0
149.0
34.0
69.0
69.0
391.0
58.0
58.0
207.0
61.0
253.0
109.0
69.0
57.0
56.0
114.0
58.0
80.0
149.0
287.0
57.0
138.0
92.0
87.0
103.0
230.0
57.0
724.0
50.0
92.0
79.0
92.0
45.0
196.0
29.0
69.0
253.0
173.0
438.0
173.0
218.0
115.0
58.0
92.0
115.0
230.0
87.0
287.0
53.0
80.0
92.0
89.0
4607.0
173.0
96.0
80.0
115.0
104.0
138.0
92.0
48.0
98.0
231.0
127.0
114.0
91.0
115.0
80.0
403.0
253.0
75.0
63.0
69.0
92.0
171.0
58.0
104.0
47.0
53.0
80.0
213.0
1498.0
104.0
125.0
127.0
58.0
432.0
90.0
52.0
69.0
173.0
75.0
69.0
139.0
127.0
45.0
87.0
138.0
92.0
58.0
208.0
52.0
149.0
60.0
89.0
119.0
287.0
74.0
138.0
171.0
391.0
104.0
35.0
92.0
656.0
90.0
92.0
103.0
69.0
345.0
115.0
87.0
107.0
93.0
92.0
247.0
172.0
58.0
34.0
99.0
104.0
57.0
80.0
345.0
461.0
330.0
80.0
75.0
94.0
104.0
218.0
58.0
115.0
79.0
108.0
184.0
115.0
60.0
101.0
40.0
92.0
102.0
3283.0
126.0
92.0
225.0
107.0
288.0
63.0
62.0
80.0
69.0
115.0
46.0
102.0
60.0
40.0
345.0
63.0
114.0
74.0
80.0
144.0
56.0
127.0
98.0
104.0
71.0
98.0
104.0
92.0
208.0
287.0
93.0
230.0
196.0
290.0
164.0
91.0
115.0
40.0
92.0
127.0
231.0
104.0
58.0
610.0
225.0
183.0
98.0
81.0
115.0
97.0
438.0
111.0
173.0
346.0
80.0
172.0
126.0
126.0
317.0
59.0
52.0
197.0
80.0
58.0
577.0
127.0
214.0
71.0
32.0
127.0
115.0
64.0
149.0
1035.0
80.0
1612.0
98.0
92.0
58.0
278.0
45.0
69.0
215.0
69.0
92.0
172.0
75.0
58.0
101.0
80.0
137.0
805.0
515.0
149.0
92.0
93.0
125.0
63.0
863.0
231.0
115.0
70.0
115.0
80.0
127.0
98.0
127.0
113.0
69.0
61.0
645.0
23.0
69.0
58.0
104.0
196.0
137.0
93.0
518.0
145.0
58.0
103.0
69.0
123.0
53.0
173.0
230.0
63.0
403.0
93.0
115.0
87.0
74.0
90.0
1036.0
93.0
160.0
201.0
131.0
460.0
287.0
61.0
98.0
64.0
46.0
138.0
149.0
74.0
56.0
80.0
92.0
67.0
133.0
403.0
160.0
138.0
63.0
69.0
69.0
331.0
92.0
368.0
103.0
92.0
180.0
114.0
58.0
115.0
144.0
345.0
172.0
98.0
76.0
67.0
68.0
80.0
345.0
490.0
62.0
190.0
46.0
91.0
231.0
93.0
79.0
83.0
115.0
58.0
139.0
162.0
46.0
144.0
104.0
83.0
305.0
76.0
23.0
230.0
184.0
104.0
138.0
106.0
85.0
287.0
58.0
167.0
213.0
225.0
58.0
57.0
576.0
231.0
87.0
87.0
156.0
576.0
63.0
104.0
196.0
345.0
207.0
345.0
114.0
403.0
87.0
80.0
69.0
68.0
173.0
253.0
103.0
138.0
168.0
167.0
98.0
58.0
171.0
53.0
49.0
80.0
64.0
92.0
691.0
75.0
92.0
69.0
71.0
58.0
121.0
104.0
40.0
253.0
69.0
149.0
104.0
41.0
230.0
41.0
132.0
231.0
58.0
127.0
58.0
69.0
149.0
91.0
374.0
46.0
115.0
52.0
37.0
173.0
864.0
149.0
167.0
58.0
173.0
69.0
52.0
426.0
46.0
167.0
921.0
85.0
