dtg,value
02-01-2011,3.7
02-01-2011,3.8
02-01-2011,4.3
02-02-2011,3
02-02-2011,3
02-02-2011,3.1
02-02-2011,3.1
02-02-2011,3.2
02-02-2011,3.2
02-02-2011,3.3
02-02-2011,3.4
02-02-2011,3.5
02-03-2011,3
02-03-2011,3
02-03-2011,3
02-03-2011,3
02-03-2011,3.1
02-03-2011,3.1
02-03-2011,3.1
02-03-2011,3.1
02-03-2011,3.2
02-03-2011,3.3
02-03-2011,3.3
02-03-2011,3.4
02-03-2011,3.4
02-03-2011,3.4
02-03-2011,3.4
02-03-2011,3.5
02-03-2011,3.5
02-03-2011,3.6
02-03-2011,3.6
02-03-2011,4
02-03-2011,4.2
02-04-2011,3
02-04-2011,3
02-04-2011,3
02-04-2011,3
02-04-2011,3
02-04-2011,3.1
02-04-2011,3.3
02-04-2011,3.3
02-04-2011,3.5
02-04-2011,3.7
02-04-2011,4.4
02-05-2011,3
02-05-2011,3
02-05-2011,3
02-05-2011,3.1
02-05-2011,3.1
02-05-2011,3.1
02-05-2011,3.2
02-05-2011,3.2
02-05-2011,3.3
02-05-2011,3.4
02-05-2011,3.4
02-05-2011,3.5
02-05-2011,3.6
02-05-2011,4.1
02-06-2011,3
02-06-2011,3.7
02-06-2011,3.8
02-07-2011,3.3
02-07-2011,3.5
02-07-2011,3.5
02-07-2011,3.6
02-08-2010,3
02-08-2010,3
02-08-2010,3.1
02-08-2010,3.1
02-08-2010,3.1
02-08-2010,3.2
02-08-2010,3.2
02-08-2010,3.3
02-08-2010,3.3
02-08-2010,3.3
02-08-2010,3.3
02-08-2010,3.4
02-08-2010,3.4
02-08-2010,3.4
02-08-2010,3.8
02-08-2010,3.8
02-08-2010,3.9
02-08-2010,4
02-08-2010,4.2
02-08-2010,4.3
02-08-2010,4.3
02-08-2010,5.2
02-08-2011,3
02-08-2011,3
02-08-2011,3.1
02-08-2011,3.1
02-08-2011,3.1
02-08-2011,3.1
02-08-2011,3.2
02-08-2011,3.2
02-08-2011,3.3
02-08-2011,3.4
02-08-2011,3.4
02-08-2011,3.4
02-08-2011,3.5
02-08-2011,3.6
02-08-2011,3.6
02-08-2011,3.7
02-08-2011,3.8
02-08-2011,3.8
02-08-2011,3.9
02-08-2011,4
02-08-2011,4.2
02-09-2010,3.1
02-09-2010,3.1
02-09-2010,3.4
02-09-2010,3.4
02-09-2010,3.5
02-09-2010,3.5
02-09-2011,3
02-09-2011,3.1
02-09-2011,3.1
02-09-2011,3.1
02-09-2011,3.1
02-09-2011,3.2
02-09-2011,3.3
02-09-2011,3.3
02-09-2011,4
02-09-2011,4.4
02-10-2010,3
02-10-2010,3
02-10-2010,3
02-10-2010,3
02-10-2010,3.1
02-10-2010,3.1
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.2
02-10-2010,3.3
02-10-2010,3.3
02-10-2010,3.3
02-10-2010,3.4
02-10-2010,3.6
02-10-2010,3.6
02-10-2010,3.8
02-10-2010,4.9
02-10-2010,5.3
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.1
02-10-2011,3.2
02-10-2011,3.2
02-10-2011,3.2
02-10-2011,3.3
02-10-2011,3.4
02-10-2011,3.5
02-10-2011,3.8
02-10-2011,4.8
02-11-2010,3.1
02-11-2010,3.3
02-11-2010,3.3
02-11-2010,3.4
02-11-2010,3.5
02-11-2010,3.5
02-11-2010,3.8
02-11-2010,3.9
02-11-2010,3.9
02-11-2011,3.1
02-11-2011,3.1
02-11-2011,3.2
02-11-2011,3.3
02-11-2011,3.9
02-12-2010,3
02-12-2010,3
02-12-2010,3.1
02-12-2010,3.2
02-12-2010,3.2
02-12-2010,3.3
02-12-2010,3.3
02-12-2010,3.3
02-12-2010,3.3
02-12-2010,3.6
02-12-2010,3.6
02-12-2010,4.5
02-12-2010,4.6
02-12-2011,3
02-12-2011,3
02-12-2011,3
02-12-2011,3
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.1
02-12-2011,3.3
02-12-2011,3.3
02-12-2011,3.4
02-12-2011,3.5
02-12-2011,3.5
02-12-2011,3.5
02-12-2011,3.5
02-12-2011,3.6
02-12-2011,3.6
02-12-2011,3.6
02-12-2011,3.7
02-12-2011,4
02-12-2011,4
02-12-2011,4.1
02-12-2011,4.2
03-01-2011,3
03-01-2011,3
03-01-2011,3
03-01-2011,3.1
03-01-2011,3.2
03-01-2011,3.2
03-01-2011,3.2
03-01-2011,3.2
03-01-2011,3.7
03-01-2011,3.8
03-01-2011,4
03-02-2011,3
03-02-2011,3
03-02-2011,3.1
03-02-2011,3.1
03-02-2011,3.1
03-02-2011,3.2
03-02-2011,3.2
03-02-2011,3.2
03-02-2011,3.3
03-02-2011,3.4
03-02-2011,3.4
03-02-2011,3.5
03-02-2011,3.7
03-02-2011,3.8
03-02-2011,4
03-02-2011,4.4
03-03-2011,3
03-03-2011,3
03-03-2011,3
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.1
03-03-2011,3.2
03-03-2011,3.2
03-03-2011,3.3
03-03-2011,3.4
03-03-2011,3.4
03-03-2011,3.4
03-03-2011,3.5
03-03-2011,3.6
03-03-2011,3.6
03-03-2011,3.6
03-03-2011,3.7
03-03-2011,3.7
03-03-2011,3.9
03-03-2011,4.6
03-04-2011,3
03-04-2011,3
03-04-2011,3
03-04-2011,3
03-04-2011,3.1
03-04-2011,3.2
03-04-2011,3.2
03-04-2011,3.2
03-04-2011,3.6
03-04-2011,3.6
03-05-2011,3
03-05-2011,3
03-05-2011,3
03-05-2011,3
03-05-2011,3.2
03-05-2011,3.2
03-05-2011,3.3
03-05-2011,3.3
03-05-2011,3.4
03-05-2011,3.8
03-05-2011,3.9
03-05-2011,4.9
03-06-2011,3
03-06-2011,3
03-06-2011,3
03-06-2011,3.1
03-06-2011,3.1
03-06-2011,3.1
03-06-2011,3.2
03-06-2011,3.2
